Time of Receipt (s),Time of Transmission (s),Time of Data (s),Day of Year,Year,Packet Type,Number of Data Elements,Packet Source,Unique ID Number,Message Type,Version,NAVSSI Status,INS Status,GPS 1 Status,GPS 2 Status,North RMS Error (ft),East RMS Error (ft),Vertical Position RMS Error (ft),Radial Error Estimate (ft),North Velocity RMS Error (ft/s),East Velocity RMS Error (ft/s), Down Velocity RMS Error (ft/s),Roll RMS Error (degrees),Pitch RMS Error (degrees),Heading RMS Error (degrees),Time of Gyro Reset (s),Latitude (degrees),Longitude (degrees),Vertical Position (ft),Velocity North (kn),Velocity East (kn),Velocity Down (kn),Acceleration North (ft/s^2),Acceleration East (ft/s^2),Acceleration Down (ft/s^2),Integral of Velocity North (ft),Integral of Velocity East (ft),Course (degrees),Speed Through The Water (kn),Calibration for Speed Log (kn),Depth Below Keel (ft),Ocean Current North (kn), Ocean Current East(kn),Roll (degrees),Pitch (degrees),Heading (degrees),Roll Rate (degrees/s),Pitch Rate (degrees/s),Heading Rate (degrees/s),Roll Acceleration (degrees/s^2),Pitch Acceleration (degrees/s^2),Heading Acceleration (degrees/s^2),OSD_Status,Own Ship Distance (NM),Athwartships Speed (kn),Vertical Speed (kn),True Wind Status,True Wind Speed (kn),True Wind Direction (degrees),True Wind Sensor,Apparent Wind Status,Apparent Wind Speed (kn),Apparent Wind Direction (degrees),Apparent Wind Sensor,MV Status,Magnetic Variation (radians),Checksum
1537212156.6861,69756.7009449,69756.7009449,260,2018,2,55,1,19,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.00004,0,6.1799998283,0.6200000048,0,0,0,0,0,0,5.75,6.2100000381,0,0,0,0,0,0,5.75,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.2100000381,0,0,0,0,2221265697
1537212156.6861,69756.7009449,69756.7009449,260,2018,2,55,1,19,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.00004,0,6.1799998283,0.6200000048,0,0,0,0,0,0,5.75,6.2100000381,0,0,0,0,0,0,5.75,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.2100000381,0,0,0,0,2221265697
1537212157.7,69757.7149467,69757.7149467,260,2018,2,55,1,20,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0.00005,0,6.2699999809,0.6499999762,0,0,0,0,0,0,5.9299998283,6.3000001907,0,0,0,0,0,0,5.9299998283,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.3000001907,0,0,0,0,96234723
1537212157.7001,69757.7149467,69757.7149467,260,2018,2,55,1,20,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0.00005,0,6.2699999809,0.6499999762,0,0,0,0,0,0,5.9299998283,6.3000001907,0,0,0,0,0,0,5.9299998283,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.3000001907,0,0,0,0,96234723
1537212158.6985,69758.7133485,69758.7133485,260,2018,2,55,1,21,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0.00005,0,6.3600001335,0.6800000072,0,0,0,0,0,0,6.1300001144,6.4000000954,0,0,0,0,0,0,6.1300001144,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.4000000954,0,0,0,0,2066688272
1537212158.6985,69758.7133485,69758.7133485,260,2018,2,55,1,21,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0.00005,0,6.3600001335,0.6800000072,0,0,0,0,0,0,6.1300001144,6.4000000954,0,0,0,0,0,0,6.1300001144,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.4000000954,0,0,0,0,2066688272
1537212159.6974,69759.7117502,69759.7117502,260,2018,2,55,1,22,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0.00005,0,6.4499998093,0.7099999785,0,0,0,0,0,0,6.3099999428,6.4899997711,0,0,0,0,0,0,6.3099999428,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.4899997711,0,0,0,0,4090599745
1537212159.6974,69759.7117502,69759.7117502,260,2018,2,55,1,22,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0.00005,0,6.4499998093,0.7099999785,0,0,0,0,0,0,6.3099999428,6.4899997711,0,0,0,0,0,0,6.3099999428,0,0,0.1899999976,0,0,0,0,0,0,0,0,0,0,0,0,6.4899997711,0,0,0,0,4090599745
1537212160.6953,69760.710152,69760.710152,260,2018,2,55,1,23,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00005,0,6.5399999619,0.7400000095,0,0,0,0,0,0,6.4899997711,6.5799999237,0,0,0,0,0,0,6.4899997711,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.5799999237,0,0,0,0,672584976
1537212160.6953,69760.710152,69760.710152,260,2018,2,55,1,23,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101,0.00005,0,6.5399999619,0.7400000095,0,0,0,0,0,0,6.4899997711,6.5799999237,0,0,0,0,0,0,6.4899997711,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,6.5799999237,0,0,0,0,672584976
